test_idx,claim,true_label,evidence,explanation
44,"Singer Dua Lipa was sexually harassed in Jodhpur, India",False,"- Recently, in Uttar Pradesh, BJP leader Satish Sharma has been accused of sexual harassment. (Rated: Partially True, Year: 2022)
- Video of Hindus taking to the streets to protest against Harsha's murder in Karnataka (Rated: False, Year: 2022)
- A picture post featuring Bollywood actress Priyanka Chopra is doing rounds on social media. The post also attributes a quote to the actress where she is insulting Indian god Shiva. "" प्रियंका चोपड़ा चोपड़ा ने दिया कड़ा जवाब माथे पर नकली आंख रखने वाला शंकर भगवान अपने बेटे को नहीं पहचान सका उस धर्म के मानने (Rated: False, Year: 2019)","Singer Dua Lipa was sexually harassed in Jodhpur, India Known verdict for this claim: False Relevant past fact-checks: - Recently, in Uttar Pradesh, BJP leader Satish Sharma has been accused of sexual harassment. (Rated: False, Year: 2022) - Video of Hindus taking to the streets to protest against Harsha's murder in Karnataka (Rated: False, Year: 2022) - A picture post featuring Bollywood actress Priyanka Chopra is doing rounds on social"
45,Stage collapses after Pakistani imam's anti-Semitic slur?,Partially True,"- Muslims Being Mistreated? Clip is of Unrelated Incident in B'desh (Rated: False, Year: 2020)
- Two priests were thrashed by Bangladeshis/ Muslims. (Rated: False, Year: 2020)
- Hindu sadhu's Jatas and beard was shoved off by Muslim man in Madhya Pradesh? (Rated: False, Year: 2022)",Pakistani imam's anti-Semitic slur is a slur. Pakistani imam's anti-Semitic slur is a slur. Pakistani imam's anti-Semitic slur is a slur. Pakistani imam's anti-Semitic slur is a slur. Pakistani imam's anti-Semitic slur is a slur. Pakistani imam's anti
46,"More than 4,500 'legacy' asylum claims remain in the backlog",Partially True,"- Says about 80% to 90% of people seeking asylum do not have a valid claim. (Rated: False, Year: 2019)
- ""There's been a 1,700 percent increase in asylum claims over the last 10 years."" (Rated: Partially True, Year: 2018)
- In the U.S. asylum system, ""claims of 'fear to return' have skyrocketed, and the percentage of claims that are genuinely meritorious are down."" (Rated: Partially True, Year: 2017)","The U.S. asylum system has a backlog of 4,500 'legacy' asylum claims. The U.S. asylum system has a backlog of 4,500 'legacy' asylum claims. The U.S. asylum system has a backlog of 4,500 'legacy' asylum claims. The U.S. asylum system has a backlog of 4,500 'legacy' asylum claims. The U.S. asylum system has a backlog of 4,500 'legacy' asylum claims. The U.S. asylum system has a backlog"
47,"In late 2023, actor Jane Fonda said about the 2024 presidential elections, ""If Trump wins, I'm moving to Canada.""",Unverifiable,"- Cher ""is moving to Canada because of President Trump."" (Rated: False, Year: 2017)
- In October 2020, actress Jane Fonda said the COVID-19 coronavirus pandemic was ""God's gift to the Left."" (Rated: True, Year: 2020)
- Says Julia Roberts told Celine Dion, ""If you hate Trump you can go in your country."" (Rated: False, Year: 2018)","In late 2023, actress Jane Fonda said about the 2024 presidential elections, ""If Trump wins, I'm moving to Canada."" (Rated: False, Year: 2017) In October 2020, actress Jane Fonda said the COVID-19 coronavirus pandemic was ""God's gift to the Left."" (Rated: True, Year: 2020)"
48,Photo shows US naturalization certificate for Ukrainian President Zelensky,False,"- Image shows President of Ukraine Volodymyr Zelensky at frontline (Rated: Partially True, Year: 2022)
- Old Images of Ukraine President Zelenskyy Viral Amid Russian Attack (Rated: False, Year: 2022)
- ""The White House presented commemorative coins"" dedicated to Ukraine President Volodymyr Zelenskyy. (Rated: False, Year: 2022)",Ukrainian President Volodymyr Zelensky was granted a US naturalization certificate in 2022. The certificate states that he has been granted a visa to the United States. The certificate states that he has been granted a visa to the United States. The certificate states that he has been granted a visa to the United States. The certificate states that he has been granted a visa to the United States. The certificate states that he has been granted a visa to the United States. The certificate states that he has been granted a visa to the United States. The certificate states
49,"No, Ben Carson Is Not Hawking CBD Gummies to Treat Hypertension",False,"- Dr. Phil and other celebrities are endorsing CBD gummies. (Rated: False, Year: 2022)
- TV personalities such as Shark Tank investors, Dr. Phil and Dr. Oz endorsed CBD gummies; CBD gummies have numerous health benefits (Rated: False, Year: 2022)
- Tiger Woods endorsed his own line of CBD gummies. (Rated: False, Year: 2022)","CBD gummies have numerous health benefits. They have been endorsed by Dr. Phil, Dr. Oz, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil, Dr. Phil,"
50,A photo authentically depicts Donald Trump and Jeffrey Epstein seated together on a private plane,False,"- This photograph showing Donald Trump and Jeffrey Epstein embracing is a fake (Rated: False, Year: 2020)
- A photo shows Donald Trump embracing Jeffrey Epstein in the back of a limousine. (Rated: False, Year: 2020)
- A photograph shows Donald and Ivanka Trump with sex offender Jeffrey Epstein. (Rated: False, Year: 2019)",Donald Trump and Jeffrey Epstein are sex offender.
51,Holding a car's key fob to your head increases the range from which the fob can lock or unlock a car.,True,"- Too many keys hanging from your keychain can prematurely wear out your car's ignition. (Rated: False, Year: 2011)
- Car headrests were deliberately designed to be removed so that they can be used to smash windows during emergencies. <BR> (Rated: Partially True, Year: 2016)
- Thieves armed with ""code grabbers"" are breaking into cars by recording signals sent by remote keyless entry devices. (Rated: False, Year: 2008)",Holding a car's key fob to your head increases the range from which the fob can lock or unlock a car.
52,Mercury in flu vaccines causes Alzheimer's and exacerbates symptoms of people who have the disease.,False,"- New Covid-19 vaccines contain levels of mercury that cause brain damage. (Rated: False, Year: 2020)
- Flu vaccines contain mercury, antifreeze, phenol, animal blood, animal viruses, formaldehyde (Rated: False, Year: 2020)
- Aluminium in vaccines can cause Alzheimer's disease. (Rated: Unverifiable, Year: 2020)",Aluminium in vaccines can cause Alzheimer's and exacerbate symptoms of people who have the disease.
53,A Palestinian prisoner seen in a video using his hands to pull himself onto a bus is a teenager who says he has two broken hands.,False,"- The video of the murder of a Palestinian youth going viral was taken from a short film. (Rated: Partially True, Year: 2022)
- 2012 Video of Palestinian Activists Arrest Shared as Recent Clip (Rated: Partially True, Year: 2021)
- Video shows Israeli soldiers detaining Palestinian child in Gaza in 2021 (Rated: Partially True, Year: 2021)","A Palestinian prisoner seen in a video using his hands to pull himself onto a bus is a teenager who says he has two broken hands. The video of the murder of a Palestinian youth going viral was taken from a short film. (Rated: Partially True, Year: 2022) - 2012 Video of Palestinian Activists Arrest Shared as Recent Clip (Rated: Partially True, Year: 2021) - Video shows Israeli soldiers detaining Palestinian child in Gaza in 2021 (Rated: Partially True, Year: 20"
54,GUIDE: Vetting claims about legislation in South Africa,False,"- Fact-checking claims about service delivery in South Africa since 1994 (Rated: False, Year: 2020)
- Explaining proposed amendments to South Africa's health law (Rated: False, Year: 2022)
- GUIDE: Getting to grips with South Africa's Promotion of Access to Information Act (Rated: Partially True, Year: 2014)",You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-check
55,Footage shows Yemen capturing an Israeli submarine passing through the Red Sea after being warned not to use the trade waterway.,False,"- Video shows boats in the Suez Canal after it was blocked by a container (Rated: False, Year: 2021)
- Pakistan claims to have blocked Indian navy submarine by uses old footage (Rated: Partially True, Year: 2021)
- A photograph shows a U.S. Navy submarine from World War II that had been missing for decades. (Rated: Partially True, Year: 2021)","Footage shows Yemen capturing an Israeli submarine passing through the Red Sea after being warned not to use the trade waterway. Known verdict for this claim: False. Relevant past fact-checks: - Video shows boats in the Suez Canal after it was blocked by a container (Rated: False, Year: 2021) - A photograph shows a U.S. Navy submarine from World War II that had been missing for decades. (Rated: Partially True, Year: 2021)"
56,Dr. Ben Carson endorsed CBD gummies to treat high blood pressure.,False,"- TV personalities such as Shark Tank investors, Dr. Phil and Dr. Oz endorsed CBD gummies; CBD gummies have numerous health benefits (Rated: False, Year: 2022)
- Dr. Phil and other celebrities are endorsing CBD gummies. (Rated: False, Year: 2022)
- CBD gummies will cure chronic obstructive pulmonary disease (Rated: False, Year: 2022)","Dr. Ben Carson endorsed CBD gummies to treat high blood pressure. (Rated: False, Year: 2022) Dr. Phil and other celebrities are endorsing CBD gummies. (Rated: False, Year: 2022) Dr. Phil and other celebrities are endorsing CBD gummies. (Rated: False, Year: 2022) Dr. Phil and other celebrities are endorsing CBD gummies. (Rated: False, Year: 2022) Dr. Phil and other celebrities are endorsing"
57,"Elon Musk developed ""Cosmo Heater,"" a product that would cut heating costs ""to basically $0.""",False,"- Tesla CEO Elon Musk offered $17 and a coupon for a free appetizer at Applebee's to buy the ""The View"" talk show. (Rated: False, Year: 2022)
- Elon Musk could have given everyone in America $1 million instead of purchasing Twitter for about $40 billion. (Rated: False, Year: 2022)
- Apple CEO Tim Cook tweeted ""now pay 30%"" in reply to Elon Musk (Rated: False, Year: 2022)","Elon Musk's ""Cosmo Heater"" is a product that would cut heating costs ""to basically $0."""
58,The asylum backlog has been cleared.,Partially True,"- In the U.S. asylum system, ""claims of 'fear to return' have skyrocketed, and the percentage of claims that are genuinely meritorious are down."" (Rated: Partially True, Year: 2017)
- ""Only about 20%"" of people who apply for asylum qualify for it. (Rated: False, Year: 2022)
- Says about 80% to 90% of people seeking asylum do not have a valid claim. (Rated: False, Year: 2019)",Asylum backlog has been cleared.
59,"Blogger Sass Sasot's claim that Sagittarius Mines Inc. , developer of the controversial Tampakan project, the largest undeveloped copper and gold",False,"- Blogger Sass Rogando Sasot, a vocal supporter of President Rodrigo Duterte, made at least seven inaccurate claims about the West Philippine Sea issue as tensions in the region rise with the continued unauthorized presence of Chinese vessels in the Philippines' maritime areas. (Rated: False, Year: 2021)
- A Facebook video claims that the Bangko Sentral ng Pilipinas has in storage tons of gold owned by the late President Ferdinand Marcos, Sr. This is a myth. (Rated: False, Year: 2022)
- COMMENT: Digging deep to investigate the mining industry (Rated: Other, Year: 2014)","Sagittarius Mines Inc. , developer of the controversial Tampakan project, the largest undeveloped copper and gold project in the Philippines. This is a myth. In 2-3 sentences, explain why the verdict is correct, using the evidence above. Do not invent new facts; just summarise the reasoning."
60,"A photo authentically depicts Donald Trump with two of his children, Ivanka and Eric, alongside Jeffrey Epstein in 1993.",True,"- A photograph shows Eric and Donald Trump Jr., sons of President Donald Trump. (Rated: False, Year: 2017)
- A photograph shows Donald and Ivanka Trump with sex offender Jeffrey Epstein. (Rated: False, Year: 2019)
- A photo shows Donald Trump Jr. and Eric Trump. (Rated: False, Year: 2020)",Donald Trump and Ivanka Trump are the sons of President Donald Trump.
61,Pakistan mobile payments service easypaisa to shut down,False,"- A genuine notice from Pakistan Telecommunication Authority which says mobile services from Telenor will be discontinued in Pakistan from December 2019 (Rated: False, Year: 2019)
- State Bank of Pakistan has restricted ATM cash withdrawals to 1,000 PKR until January 31, 2021 (Rated: False, Year: 2021)
- Pakistan government omits quotation from bank note (Rated: False, Year: 2022)","Mobile payments service easypaisa will be shut down in Pakistan from December 2019 (Rated: False, Year: 2019) State Bank of Pakistan has restricted ATM cash withdrawals to 1,000 PKR until January 31, 2021 (Rated: False, Year: 2021) State Bank of Pakistan has restricted ATM cash withdrawals to 1,000 PKR until January 31, 2021 (Rated: False, Year: 2021) State Bank of Pakistan has restricted ATM cash withdrawals to 1,000 PKR until January 31, 2021 (Rated: False, Year: 2021)"
62,Newly elected CM of an Indian state warning Muslims,False,"- A newspaper clipping shows a survey that Bahujan Samaj Party chief Mayawati is leading the race for CM in Uttar Pradesh (Rated: Partially True, Year: 2022)
- Punjab CM Charanjit Singh Channi converts to Christianity? (Rated: False, Year: 2021)
- A post is going viral on social media claiming that the Aam Aadmi Party has released the candidate list for the upcoming Delhi Assembly elections. In the viral image, candidate names for 27 constituencies are visible out of which 22 are Muslims candidates. "" दिल्ली के #हिंदू___मतदाताओं जागो ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड की नहीं बल्कि #आम___आदमी_पार्टी (Rated: False, Year: 2020)",                                                               
63,Footage shows damage from tsunami caused by 2024 earthquake in Japan.,False,"- Video shows tsunami caused by a powerful earthquake in the Philippines. (Rated: False, Year: 2022)
- Photos shows recent scenes after a powerful earthquake hit Japan. (Rated: Partially True, Year: 2022)
- 2011 Clip of Tsunami in Japan Falsely Shared as Video From China (Rated: Partially True, Year: 2021)","Footage shows damage from tsunami caused by 2024 earthquake in Japan. (Rated: False, Year: 2022) - Photos shows recent scenes after a powerful earthquake hit Japan. (Rated: Partially True, Year: 2022) - 2011 Clip of Tsunami in Japan Falsely Shared as Video From China (Rated: Partially True, Year: 2021)"
64,Altered Video of Greta Thunberg Advocating 'Vegan Grenades in Wars' Goes Viral,False,"- A video shows teenage environmental activist Greta Thunberg shooting a gun. (Rated: False, Year: 2019)
- This video shows Greta Thunberg shooting a gun (Rated: False, Year: 2019)
- Video shows Greta Thunberg denied Climate crisis (Rated: False, Year: 2021)","Video of Greta Thunberg shooting a gun. (Rated: False, Year: 2019) This video shows Greta Thunberg shooting a gun (Rated: False, Year: 2019) Video shows Greta Thunberg denied Climate crisis (Rated: False, Year: 2021) In 2-3 sentences, explain why the verdict is correct, using the evidence above. Do not invent new facts; just summarise the reasoning."
65,Homemade herbal tooth powder ensure teeth-whitening,Partially True,"- baking soda and lemon helps teeth whitening. (Rated: False, Year: 2022)
- Herbal teeth whitening foam strengthens gums (Rated: Partially True, Year: 2022)
- Lemon and baking soda can act as an effective teeth whitener (Rated: Partially True, Year: 2022)","Lemon and baking soda can act as an effective teeth whitener (Rated: Partially True, Year: 2022)."
66,"Visuals showing a recent bomb blast in which Maulana Masood Azhar, the Chief of Jaish-e-Mohammad, was reportedly killed.",False,"- Pakistan Army Chief: ""Masood Azhar is not dead, he is alive in our hearts"". (Rated: False, Year: 2019)
- Photos show the aftermath of a bombing at an Islamic seminary in the Pakistani city of Peshawar in October 2020 (Rated: False, Year: 2020)
- Image of slain Islamic State leader Abu Ibrahim al-Hashimi al-Qurayshi. (Rated: Partially True, Year: 2022)",Maulana Masood Azhar is the Chief of Jaish-e-Mohammad.
67,"These videos from Japan show the effects of earthquakes and tsunamis that hit the country on January 1, 2024.",False,"- Video shows tsunami caused by a powerful earthquake in the Philippines. (Rated: False, Year: 2022)
- Video shows January 2022 earthquake in Indonesia's Banten province (Rated: False, Year: 2022)
- Video shows footage of the tsunami that hit Tonga on January 15. (Rated: False, Year: 2022)","These videos from Japan show the effects of earthquakes and tsunamis that hit the country on January 1, 2024. Known verdict for this claim: False. Related past fact-checks: - Video shows tsunami caused by a powerful earthquake in the Philippines. (Rated: False, Year: 2022) - Video shows footage of the tsunami that hit Tonga on January 15. (Rated: False, Year: 2022)"
68,2019 Image Falsely Shared with Recent News of Ship Attacked in Red Sea,Partially True,"- Image of newspaper showing Trump bombing South China Sea (Rated: False, Year: 2020)
- Photo of US submarine after collision in 2021 (Rated: False, Year: 2021)
- Picture of Israeli Owned Ship Hit By A Missile (Rated: Partially True, Year: 2021)","Image of newspaper showing Trump bombing South China Sea (Rated: False, Year: 2020) Image of US submarine after collision in 2021 (Rated: False, Year: 2021) Image of Israeli Owned Ship Hit By A Missile (Rated: False, Year: 2021) Image of Israeli Owned Ship Hit By A Missile (Rated: False, Year: 2021) Image of US submarine after collision in 2021 (Rated: False, Year: 2021) Image of Israeli Owned Ship Hit By A Miss"
69,Dinosaurs are a hoax invented to validate Darwin's theory of evolution.,False,"- Did Sam Clovis called scientists ""dumb"" and claimed that dinosaurs never existed. (Rated: False, Year: 2017)
- Researchers in North Carolina have created ""the first fully living dinosaur embryo in millions of years"" using DNA from chicken skin. (Rated: False, Year: 2016)
- Scientists at a British university have successfully cloned a dinosaur from preserved fossils (Rated: False, Year: 2014)",Dinosaurs are a hoax invented to validate Darwin's theory of evolution. Dinosaurs are a hoax invented to validate Darwin's theory of evolution.
70,"Old, Unrelated Video of Nurse Saving Children Peddled as Recent One From Japan",False,"- Old Video From Japan Shared as Visuals From 'Tokyo Olympics Closing Ceremony' (Rated: False, Year: 2021)
- Viral video of woman cradling her child on the train couplings is from India (Rated: False, Year: 2020)
- Video of Japanese school children getting emotional while watching the videos of their parents' hard work at their workplace. (Rated: False, Year: 2022)",You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-check
71,Video shows Rajasthan CM Bhajan Lal Sharma losing his balance while playing cricket.,False,"- Video shows Congress leader Rahul Gandhi saying he's against India's infratructure (Rated: Partially True, Year: 2022)
- Video of Prime Minister Narendra Modi playing cricket. (Rated: False, Year: 2022)
- Video shows Prime Minister Narendra Modi playing cricket (Rated: False, Year: 2022)","Video shows Bhajan Lal Sharma losing his balance while playing cricket. (Rated: False, Year: 2022) Video shows Prime Minister Narendra Modi playing cricket. (Rated: False, Year: 2022)"
72,ear candling technique safely remove ear wax,False,"- you can put Vicks in your ear to reduce pain (Rated: False, Year: 2022)
- Vicks VapoRub relieves earache. (Rated: False, Year: 2022)
- inserting garlic clove helps remove pain in the ear (Rated: Partially True, Year: 2021)","You can put Vicks in your ear to reduce pain. (Rated: False, Year: 2022) Inserting garlic clove helps remove pain in the ear (Rated: Partially True, Year: 2021)"
73,Unrelated Video From Faridabad Falsely Shared as Dalit Boy Beaten at Ram Temple,False,"- Video From Bihar Wrongly Linked to Dalit Boy's Death in Rajasthan (Rated: Partially True, Year: 2022)
- Old Video Shared With False Claim About Abuse of Dalit Man in Rajasthan (Rated: False, Year: 2022)
- Video of a Dalit man beaten in Uttar Pradesh. (Rated: False, Year: 2022)","Video of a Dalit man beaten in Uttar Pradesh. (Rated: False, Year: 2022) Video of a Dalit man beaten in Uttar Pradesh. (Rated: False, Year: 2022) Video of a Dalit man beaten in Uttar Pradesh. (Rated: False, Year: 2022) Video of a Dalit man beaten in Uttar Pradesh. (Rated: False, Year: 2022) Video of a Dalit man beaten in Uttar Pradesh. (Rated: False, Year:"
74,"Video shows damage caused by an earthquake in Japan on January 1, 2024",False,"- Video shows earthquake in Shanghai in January 2021 (Rated: False, Year: 2021)
- Video shows January 2022 earthquake in Indonesia's Banten province (Rated: False, Year: 2022)
- Video of the recent earthquake in china (Rated: Partially True, Year: 2022)","Video shows damage caused by an earthquake in Japan on January 1, 2024. Video shows damage caused by an earthquake in Shanghai in January 2021 (Rated: False, Year: 2021) - Video of the recent earthquake in China (Rated: Partially True, Year: 2022) - Video of the recent earthquake in China (Rated: Partially True, Year: 2022) - Video of the recent earthquake in China (Rated: Partially True, Year: 2022) - Video of the recent earthquake in China (Rated: False,"
75,Cambridge Scientists Admit 25% of Vaccinated People Now Have VAIDS,False,"- ""60% of patients admitted to the hospital in the UK have been fully vaccinated"" (Rated: False, Year: 2021)
- In the United Kingdom, ""70-plus percent of the people who die now from COVID are fully vaccinated."" (Rated: False, Year: 2021)
- Vaccine effectiveness has fallen from 100% to 20%; the early reported vaccine effectiveness figures were lies (Rated: Partially True, Year: 2022)","Vaccine effectiveness has fallen from 100% to 20%; the early reported vaccine effectiveness figures were lies (Rated: Partially True, Year: 2022)."
76,Video shows tsunami hitting in Japan on the first day of 2024.,False,"- Video shows footage of the tsunami that hit Tonga on January 15. (Rated: False, Year: 2022)
- Video shows tsunami waves hitting Tonga? (Rated: False, Year: 2022)
- Video shows tsunami caused by a powerful earthquake in the Philippines. (Rated: False, Year: 2022)",Video shows tsunami hitting Japan on the first day of 2024. Video shows tsunami waves hitting Tonga on January 15. Video shows tsunami caused by a powerful earthquake in the Philippines. Video shows tsunami caused by a powerful earthquake in the Philippines. Video shows tsunami caused by a powerful earthquake in the Philippines. Video shows tsunami caused by a powerful earthquake in the Philippines. Video shows tsunami caused by a powerful earthquake in the Philippines. Video shows tsunami caused by a powerful earthquake in the Philippines. Video shows tsunami caused by a powerful earthquake in the Philippines. Video shows tsunami caused by a powerful earthquake in the Philippines
77,Video shows impact of New Year quake in Japan in 2024,False,"- Video shows earthquake in Shanghai in January 2021 (Rated: False, Year: 2021)
- Photos shows recent scenes after a powerful earthquake hit Japan. (Rated: Partially True, Year: 2022)
- Media Outlets Pass Off an Old Image as Powerful Earthquake in Japan (Rated: Partially True, Year: 2022)","Video shows earthquake in Shanghai in January 2021 (Rated: False, Year: 2021) Photos shows recent scenes after a powerful earthquake hit Japan. (Rated: Partially True, Year: 2022) In 2-3 sentences, explain why the verdict is correct, using the evidence above. Do not invent new facts; just summarise the reasoning."
78,This video shows the US Navy destroying Houthi militants' boats in the Red Sea.,Partially True,"- Video of US military shooting pirates (Rated: False, Year: 2019)
- Video shows a Russian ship being hit by missiles amid the ongoing war in Ukraine. (Rated: Partially True, Year: 2022)
- Videos sharing the visuals of Israel air defence system destroying Palestinian missiles. (Rated: False, Year: 2021)",This video shows the US Navy destroying Houthi militants' boats in the Red Sea. This video shows the US Navy destroying Houthi militants' boats in the Red Sea. This video shows the US Navy destroying Houthi militants' boats in the Red Sea. This video shows the US Navy destroying Houthi militants' boats in the Red Sea. This video shows the US Navy destroying Houthi militants' boats in the Red Sea. This video shows the US Navy destroying Houthi militants' boats in the Red Sea. This video shows the US Navy 
79,Image of QR code of Congress' 'Donate for Country' campaign,False,"- Image of an envelope with cash and Samajwadi Party symbol being used to bribe voters with cash ahead of the 2022 UP elections. (Rated: Partially True, Year: 2022)
- Photo shows a gravestone in Japan with a QR code. (Rated: False, Year: 2021)
- Image shows a Left activist holding a placard with ""e are ready to strip saree and cloth; yet we would not provide our documents, No NRC/CAA/NPR"" written on it (Rated: False, Year: 2021)",Image of QR code of Congress' 'Donate for Country' campaign.
80,Video of Nirmala Sitharaman Stating Partnership With Quantum Trade Is a Deepfake,False,"- Congress tweets photo of Nirmala Sitharaman buying onions (Rated: Partially True, Year: 2022)
- The video shows a recent speech by Nupur Sharma (Rated: Partially True, Year: 2022)
- Edited picture of Union Finance Minister Nirmala Sitharaman goes viral on social media (Rated: False, Year: 2022)","Video of Nirmala Sitharaman Stating Partnership With Quantum Trade Is a Deepfake Known verdict for this claim: False Relevant past fact-checks: - Congress tweets photo of Nirmala Sitharaman buying onions (Rated: Partially True, Year: 2022) - The video shows a recent speech by Nupur Sharma (Rated: Partially True, Year: 2022) - Edited picture of Union Finance Minister Nirmala Sitharaman goes viral on social media (Rated"
81,"Photo shows man swept away by tsunami in Japan on January 1, 2024",False,"- Images show aftermath of Tonga eruption and tsunami in January 2022 (Rated: Partially True, Year: 2022)
- Video shows footage of the tsunami that hit Tonga on January 15. (Rated: False, Year: 2022)
- A picture shows a massive tsunami headed for a crowded beach. (Rated: False, Year: 2021)","A photo shows a man swept away by a tsunami in Japan on January 1, 2024. A picture shows a massive tsunami headed for a crowded beach. A picture shows a massive tsunami headed for a crowded beach. A picture shows a massive tsunami headed for a crowded beach. A picture shows a massive tsunami headed for a crowded beach. A picture shows a massive tsunami headed for a crowded beach. A picture shows a massive tsunami headed for a crowded beach. A picture shows a massive tsunami headed for a crowded beach. A"
82,"Lemon and coconut oil, prevent hair greying permanently.",False,"- onion juice can reverse greying of hair (Rated: False, Year: 2021)
- Putting oil through the nose can impact greying of hair (Rated: Partially True, Year: 2022)
- Tomatoes and coffee turns grey hair into black permanently (Rated: False, Year: 2022)",Lemon juice and coconut oil can reverse greying of hair permanently. The sentence is false because the sentence is false. The sentence is false because lemon juice and coconut oil can reverse greying of hair permanently. The sentence is false because lemon juice and coconut oil can reverse greying of hair permanently. The sentence is false because lemon juice and coconut oil can reverse greying of hair permanently. The sentence is false because lemon juice and coconut oil can reverse greying of hair permanently. The sentence is false because lemon juice and coconut oil can reverse greying of hair permanently. The sentence is false because lemon juice and coconut oil can reverse greying
83,"""RIA Road Completing Stage""",Partially True,"- An image of a road is going viral on social media claiming that the ""emergency road was constructed in Japan within 24 hrs so as to maintain the flow of traffic after the main one was being covered by a landslide"". ALSO READ: No, the woman in the video performing Dhunuchi dance is not… (Rated: False, Year: 2019)
- This video shows a congested road in Rawalpindi, Pakistan, caused by Imran Khan's Haqeeqi Azadi March Jalsa on November 26. (Rated: False, Year: 2022)
- Construction of the east-west highway will be completed before 2020 (Rated: False, Year: 2018)","Construction of the east-west highway will be completed before 2020 (Rated: False, Year: 2018)."
84,Photo shows Koforidua Stadium in Ghana,False,"- Photos show flooded stadium in Nigeria's Oyo state (Rated: False, Year: 2021)
- Newly upgraded stadium in Nigeria's Oyo state under water? No, photos of UK's Hillsborough stadium in 2007 (Rated: False, Year: 2021)
- Viral image of President Kovind inauguration ceremony of Narendra Modi Stadium (Rated: False, Year: 2021)",You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-checking assistant. You are a fact-check
85,"No, BHEL Tiruchirappalli Did Not Make These Bells for Ayodhya's Ram Temple",False,"- Design of the Ram temple to be constructed in Ayodhya. (Rated: False, Year: 2020)
- This sketch of a temple with golden domes and water bodies is the design of Ram temple at Ayodhya (Rated: Partially True, Year: 2020)
- First photo of Ram temple being constructed in India's Ayodhya (Rated: False, Year: 2020)",BHEL Tiruchirappalli did not make these bells for Ayodhya's Ram temple.
86,"An alleged letter circulating on social media, attributed to the Rashtriya Swayamsevak Sangh , suggests a conspiracy involving the RSS in enticing Muslim women to convert to Hinduism. The purported letter advises Hindu men on tactics to gain the trust of Muslim girls, establish a relationship, and eventually compel them to embrace Hinduism. According to",Partially True,"- See how these Muslim men lure juvenile Hindu girls in the name of love jihad (Rated: False, Year: 2021)
- A lady constable speaks about the ""Love Jihad"" conspiracy and how Hindu women are lured into marriage by Muslim men. (Rated: False, Year: 2022)
- A picture post has been making rounds on social media. It states that RSS is supporting terrorists in Kashmir to spread hatred against Muslims. The post read: ""पकड़े गए ज़िंदा कश्मीरी आतंकी ने पूछताछ के दौरान कहा कि आरएसएस हमें हथियार और पैसा मुहैया कराती है और हिंदुओं को मारने के लिए कहती है ताकि (Rated: False, Year: 2019)","An alleged letter circulating on social media, attributed to the Rashtriya Swayamsevak Sangh , suggests a conspiracy involving the RSS in enticing Muslim women to convert to Hinduism. The purported letter advises Hindu men on tactics to gain the trust of Muslim girls, establish a relationship, and eventually compel them to embrace Hinduism. According to Known verdict for this claim: Partially True"
87,Giraffes have the same number of neck bones as humans.,True,"- Image showing two giraffes up on a tree (Rated: False, Year: 2022)
- A photograph captures an unusually short, stocky giraffe. (Rated: False, Year: 2018)
- White giraffes? Yes, this rare type lives in a conservancy in north-eastern Kenya (Rated: True, Year: 2018)",Giraffes have the same number of neck bones as humans.
88,Is inflation up 17% since President Joe Biden took office?,False,"- Joe Biden ""inherited inflation of 1.7%. Now we're well over 8% and growing."" (Rated: Partially True, Year: 2022)
- On Aug. 10, 2022, U.S. President Joe Biden stated that the rate of inflation in July 2022 was ""zero percent."" (Rated: Partially True, Year: 2022)
- ""Inflation has gone up every month of the Biden presidency and just hit another 40-year high."" (Rated: Partially True, Year: 2022)",Inflation has gone up every month of the Biden presidency and just hit another 40-year high. Inflation has gone up every month of the Biden presidency and just hit another 40-year high. Inflation has gone up every month of the Biden presidency and just hit another 40-year high. Inflation has gone up every month of the Biden presidency and just hit another 40-year high. Inflation has gone up every month of the Biden presidency and just hit another 40-year high. Inflation has gone up every month of the Biden presidency and just hit another
