test_idx,claim,true_label,factors_evidence,web_evidence,web_source,explanation
26,Hand massage improves brain health,Partially True,"[{""retr_claim"": ""Foot massage can stop Alzheimer's disease"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Ghee massage around the eyes improves vision"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Foot massage with mustard oil improves eyesight"", ""retr_label"": ""False"", ""retr_year"": 2021}]","[""Cardiopulmonary resuscitation: as currently, results are unclear whether or not it improves outcomes. Internal cardiac massage is the manual squeezing of the exposed heart itself carried"", ""Hitachi Magic Wand: that its sole intended use is for health care purposes. Hitachi&#039;s national sales manager said &quot;we approach the massagers as personal care items... the people""]",wikipedia,"The claim that hand massage improves brain health is partially true, but the evidence provided does not support it directly. The past fact-checks indicate that other types of massage, such as foot massage, have been debunked in relation to specific health claims like stopping Alzheimer's disease or improving eyesight ([F1], [F2], [F3]). Additionally, the evidence from the web does not provide any clear connection between hand massage and brain health, leaving the claim unsupported. Therefore, while there may be some anecdotal or unverified benefits, the current evidence is insufficient to definitively support the claim."
27,Ratan Tata Did Not Provide the Indian Army with Bulletproof Buses!,False,"[{""retr_claim"": ""Claim:Ratan Tata: \""In a country, if Prime Minister's popularity increases due to the death of 65 soldiers, then nobody can save that country from getting destroyed\"""", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""Rahul Gandhi says India does not need Army, Navy and Air Force"", ""retr_label"": ""Partially True"", ""retr_year"": 2021}, {""retr_claim"": ""Ratan Tata has pledged his entire wealth to rid India of COVID19"", ""retr_label"": ""False"", ""retr_year"": 2021}]",[],none,"The claim that Ratan Tata did not provide the Indian Army with bulletproof buses lacks sufficient evidence to support a definitive verdict. The provided fact-checks do not address this specific claim, as they focus on unrelated statements and pledges made by Ratan Tata, such as his comments on political issues and his philanthropic efforts during the COVID-19 pandemic [F1], [F3]. Therefore, without direct evidence regarding the provision of bulletproof buses, the claim remains unverified and the verdict cannot be confidently established."
28,An X post with a video of a young child praying on a hospital bed claimed that the footage shows a kid who got left behind when doctors were forced to evacuate from the Baptist Hospital in Gaza.,False,"[{""retr_claim"": ""Video shows Israeli soldiers detaining Palestinian child in Gaza in 2021"", ""retr_label"": ""Partially True"", ""retr_year"": 2021}, {""retr_claim"": ""Video of Israeli police personnel strangling a Palestinian child to death."", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""A video of an injured child bleeding from his head is widely being shared on the internet with a claim that the incident took place in Varanasi where the 'Yogi police' is entering mosque and killing children."", ""retr_label"": ""False"", ""retr_year"": 2020}]",[],none,"The claim that the video shows a child left behind during an evacuation from the Baptist Hospital in Gaza is deemed false, likely due to a lack of supporting evidence linking the footage to the specific incident described. The provided evidence does not include any verification of the video's context or its relation to the hospital evacuation, which suggests that the claim is not substantiated. Additionally, the existing fact-checks do not directly address this specific claim, indicating insufficient evidence to support it."
29,Fasting kill tumors in the body,Partially True,"[{""retr_claim"": ""Fasting on water for seven days can prevent cancer"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""A tumor collects all the poison from your body and save your life"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""No, Ekadashi Fasting Does Not Reduce Your Risk of Cancer"", ""retr_label"": ""False"", ""retr_year"": 2018}]","[""Neuroendocrine tumor: which emphasize the tumor grade rather than the anatomical origin: well-differentiated neuroendocrine tumors, further subdivided into tumors with benign and"", ""Prostate cancer: disease. Most prostate tumors remain small and cause no health problems. These are managed with active surveillance, monitoring the tumor with regular tests""]",wikipedia,"The claim that fasting kills tumors in the body is partially true, but the evidence provided suggests that fasting does not prevent or reduce cancer risk. For instance, past fact-checks indicate that fasting on water for seven days does not prevent cancer [F1], and there is no support for the idea that specific fasting practices, like Ekadashi fasting, reduce cancer risk [F3]. Additionally, the information from the web does not provide any evidence that fasting has a direct effect on tumor growth or cancer treatment, leaving the claim unsupported. Therefore, the verdict of ""partially true"" reflects the lack of strong evidence to substantiate the claim."
30,The Biggest Stories Indian Media Misreported In 2023,Other,"[{""retr_claim"": ""All The Fake News Spread By The Indian Media On Afghanistan"", ""retr_label"": ""Other"", ""retr_year"": 2021}, {""retr_claim"": ""How Did Fake News Affect The Violence in Northeast Delhi?"", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Fake News Around ISRO, Nehru & More"", ""retr_label"": ""False"", ""retr_year"": 2019}]","[""Media coverage of climate change: active on Twitter. Just in the year 2017, the word &quot;Trump&quot; was mentioned 19,187 times in stories covered by five of the nation&#039;s biggest press accounts, with"", ""14th Dalai Lama: outcry&quot;. CNN. 11 April 2023. &quot;TLA serves legal notice to media houses for misreporting on Dalai Lama incident&quot;. Phayul. 18 April 2023. Retrieved 25 June 2025""]",wikipedia,"The claim regarding the biggest stories Indian media misreported in 2023 lacks sufficient evidence to support it. The provided evidence includes past fact-checks from 2021, 2020, and 2019, which do not directly address the specific misreporting incidents in 2023. Additionally, the web evidence mentions a legal notice related to a misreporting incident involving the Dalai Lama in April 2023, but it does not provide a comprehensive overview of misreporting by Indian media as a whole in that year [W2]. Therefore, the claim remains unsupported by the available evidence."
31,"Video shows underwater earthquake in Japan on January 1, 2024.",False,"[{""retr_claim"": ""Video shows earthquake in Shanghai in January 2021"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Video shows January 2022 earthquake in Indonesia's Banten province"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Video shows a fireworks show in Japan in 2022"", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""2024 Noto earthquake: On 1 January 2024, at 16:10:09 JST (07:10:09 UTC), a MJMA7.6 (Mw7.5) earthquake struck 6 km (3.7 mi) north-northeast of Suzu, located on the Noto Peninsula"", ""2011 Tōhoku earthquake and tsunami: On 11 March 2011, at 14:46:24 JST (05:46:24 UTC), a Mw 9.0–9.1 undersea megathrust earthquake occurred in the Pacific Ocean, 72 km (45 mi) east of the""]",wikipedia,"The claim that a video shows an underwater earthquake in Japan on January 1, 2024, is reasonable to be deemed false based on the evidence provided. While there was indeed a significant earthquake in Japan on that date, as noted in [W1], there is no evidence that directly links the video to this event. Additionally, past fact-checks indicate that similar videos have been misidentified, such as those showing earthquakes in other locations or unrelated events like fireworks [F1], [F2], [F3]. Therefore, without clear evidence linking the video to the January 1, 2024 earthquake, the verdict is justified."
32,This video shows colleagues fighting over the use of Hindi during a Zoom meeting.,False,"[{""retr_claim"": ""Video shows scuffle between two groups in India"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Video of a fight between Hindu and Christan neighbors over Diwali celebration."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Video of a clash between Hindu and Muslims."", ""retr_label"": ""False"", ""retr_year"": 2021}]","[""List of films with post-credits scenes: 2024 2025 Mid-credits and post-credits scenes in the Marvel Cinematic Universe The list shows only the experiments from Experiment 001, Shrink, to Experiment"", ""Agent Vinod (2012 film): Vinod is a 2012 Indian Hindi-language spy film written and directed by Sriram Raghavan and produced by Saif Ali Khan and Dinesh Vijan. The film revolves""]",wikipedia,"The verdict of ""False"" for the claim that the video shows colleagues fighting over the use of Hindi during a Zoom meeting is reasonable because the evidence provided does not support the claim. The past fact-checks indicate that the videos in question depict scuffles or clashes between different groups in India, but none specifically relate to a Zoom meeting or the use of Hindi. For instance, [F1] describes a scuffle between two groups, while [F2] and [F3] detail conflicts between religious communities, none of which involve a discussion about language during a virtual meeting. Therefore, the evidence is insufficient to substantiate the claim."
33,The operations of National Geographic and other related network channels were halted from 28 December 2023.,False,"[{""retr_claim"": ""The International Space Stations was briefly thrown out of control in July 2021."", ""retr_label"": ""True"", ""retr_year"": 2021}, {""retr_claim"": ""NASA has announced that a multi-day worldwide blackout will occur beginning on 16 December 2020."", ""retr_label"": ""False"", ""retr_year"": 2012}, {""retr_claim"": ""Is the Cartoon network shutting down after 30 years?"", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""2025 in American television: show debuts, finales, and cancellations; channel launches, closures, and rebrandings; stations changing or adding their network affiliations; information"", ""2020 in Philippine television: direction. The Philippine feeds of Fox Networks Group-owned channels including Fox, Fox Life, Fox Movies and National Geographic (SD) were reverted to the main""]",wikipedia,"The claim that the operations of National Geographic and other related network channels were halted from 28 December 2023 is marked as false, and this verdict is reasonable given the lack of supporting evidence. The provided evidence does not include any information regarding a shutdown of National Geographic or related channels around that date. Additionally, the references to past events ([F1], [F2], [F3], [W1], [W2]) do not indicate any operational halts for National Geographic, making it clear that there is insufficient evidence to support the claim."
34,This video shows a British oil tanker on fire after a missile attack by the Yemeni Houthi militant group.,Partially True,"[{""retr_claim"": ""Video shows a tanker exploding in Dubai and it's after effects."", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Viral video of oil tanker in flames is from Gachibowli flyover"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Videos show oil pipeline explosion in Dubai in mid-August 2020?"", ""retr_label"": ""False"", ""retr_year"": 2020}]","[""Houthi attacks on commercial vessels: Each was attacked in the Indian Ocean by Iranian-backed Houthi militants. On 26 April, two Houthi missiles hit the Panama-flagged oil tanker Andromeda"", ""Yemeni civil war (2014–present): expand their control by driving into southern provinces. The Houthi offensive, allied with military forces loyal to former Yemeni president Ali Abdullah""]",wikipedia,"The claim that the video shows a British oil tanker on fire after a missile attack by the Yemeni Houthi militant group is not fully supported by the evidence provided. Past fact-checks indicate that similar videos of oil tankers on fire have been misidentified, with instances showing explosions in Dubai rather than related to Houthi attacks [F1], [F2], [F3]. While there is evidence of Houthi missile attacks on commercial vessels, such as the incident involving the oil tanker Andromeda, this does not confirm that the specific video in question depicts such an event [W1]. Therefore, the evidence is insufficient to definitively support the claim."
35,A drink can burn fat in just 15-20 days,Partially True,"[{""retr_claim"": ""Coffee with Lemon juice can burn belly fat in 30 days"", ""retr_label"": ""Partially True"", ""retr_year"": 2021}, {""retr_claim"": ""You can melt belly fat without exercise and diet in 15 days"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}, {""retr_claim"": ""Previous claims that one or two drinks a day might protect against stroke are not true"", ""retr_label"": ""True"", ""retr_year"": 2019}]","[""Milk: about a million globules, held together by a number of minor whey proteins. These clusters rise faster than individual globules can. The fat globules in milk"", ""Edward Burns: April 5, 2011. Burns, Edward (March 17, 2011). &quot;Newlyweds shooting budget. 5k for actors, 2k insurance, 2k food and drink. 9k in the can. That&#039;s how to""]",wikipedia,"The claim that a drink can burn fat in just 15-20 days is considered partially true based on past evidence. For instance, one claim suggests that coffee with lemon juice can help burn belly fat in 30 days [F1], while another claim states that it is possible to melt belly fat without exercise and diet in 15 days [F2]. However, the evidence does not provide a definitive or universally applicable method for fat burning through drinks, indicating that further clarification and stronger evidence are needed to fully support the claim."
36,Jaish-e-Mohammed chief Masood Azhar was killed in the explosion while he was returning from Bhawalapur mosque in Pakistan.,Partially True,"[{""retr_claim"": ""Pakistan Army Chief: \""Masood Azhar is not dead, he is alive in our hearts\""."", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""a Hindu supporter of Nupur Sharma killed a Muslim man in Kolhapur, Maharashtra."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Congress leader from Assam Amjat Ali was arrested and weapons and explosives recovered from him. He was planning genocide against Hindus."", ""retr_label"": ""False"", ""retr_year"": 2020}]",[],none,"The claim that Masood Azhar was killed in an explosion is not supported by the available evidence. In fact, a statement from the Pakistan Army Chief in 2019 explicitly stated that ""Masood Azhar is not dead, he is alive in our hearts,"" which contradicts the claim of his death [F1]. Since there is no additional evidence provided to confirm his death or any recent incident involving him, the evidence is insufficient to support the claim. Therefore, the verdict of ""Partially True"" does not align with the available facts, as there is no credible evidence indicating that he has died."
37,Video shows three people being swept away by a tsunami following Japan's recent earthquake.,False,"[{""retr_claim"": ""Video shows tsunami caused by a powerful earthquake in the Philippines."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""2011 Clip of Tsunami in Japan Falsely Shared as Video From China"", ""retr_label"": ""Partially True"", ""retr_year"": 2021}, {""retr_claim"": ""Video shows entire family being swept away in floods in Khyber Pakhtunkhwa"", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""2018 Sulawesi earthquake and tsunami: caught off guard and swept away by the waves. The BMKG later admitted that the tsunami detectors in Palu were damaged in the earthquake. The shaking was violent"", ""2022 Hunga Tonga–Hunga Haʻapai eruption and tsunami: Tattoo parlour owner Angela Glover, a British resident in Tonga, was among the people missing, swept away by the tsunami when it hit Nukuʻalofa. Glover&#039;s""]",wikipedia,"The claim that a video shows three people being swept away by a tsunami following Japan's recent earthquake is reasonable to be deemed false based on the evidence provided. Specifically, [F1] indicates that a similar video was misattributed to a tsunami caused by an earthquake in the Philippines, suggesting that videos of tsunamis are often misidentified or misrepresented. Additionally, there is no evidence directly linking the video in question to a recent earthquake in Japan, making it difficult to substantiate the claim. Therefore, the verdict of false is supported by the existing evidence."
38,108 feet Shivalinga is ready in Sri Lanka. This is the tallest Shivling in the world,False,"[{""retr_claim"": ""World's largest Shivalinga at 108 ft and it is located in Sri Lanka"", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""Photo of 108-feet Shiva lingam, the tallest located in Sri Lanka."", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""A picture of a Shiva Lingam has been making rounds on social media and it is claimed that it is a 108-feet Shiva lingam situated in Sri Lanka. The text on the picture read: \""श्रीलंका में 108 फ़ीट का शिवलिंग बन के तैयार हो गया है दुनिया का सबसे ऊँचा शिवलिंग है बोलो हर हर"", ""retr_label"": ""False"", ""retr_year"": 2019}]",[],none,"The claim that a 108-foot Shivalinga is ready in Sri Lanka and is the tallest in the world is supported by multiple past fact-checks that have all concluded it to be false. Specifically, evidence from 2019 indicates that the assertion regarding the existence of such a Shivalinga in Sri Lanka is incorrect, as noted in [F1], [F2], and [F3]. Therefore, the verdict of false is reasonable based on this consistent evidence."
39,This video is from a function related to Ayodhya's Ram Mandir,False,"[{""retr_claim"": ""Video of the exterior of Ram Mandir in Ayodhya"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""No, That's Not the Official 3D Video of Ram Mandir in Ayodhya"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""The officially released 3D video of Ayodhya Ram Mandir."", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""Ram Mandir: The Ram Mandir (ISO: Rāma Maṁdira, lit. &#039;Rama Temple&#039;), is a Hindu temple complex in Ayodhya, Uttar Pradesh, India. Many Hindus believe that it is located"", ""Ramayana: that resulted in bloodbath; and Rama&#039;s eventual return to Ayodhya along with Sita to be crowned as a king amidst jubilation and celebration. Scholarly estimates""]",wikipedia,"The claim that the video is from a function related to Ayodhya's Ram Mandir is deemed false based on multiple past fact-checks indicating that similar videos or representations have been misidentified as related to the Ram Mandir. Specifically, evidence shows that videos claiming to depict the Ram Mandir's exterior or official representations have been proven false ([F1], [F2], [F3]). Therefore, the verdict is reasonable given the consistent misrepresentation of such content."
40,"No, Yemeni Houthis Have Not Recently Captured an Indian Ship Filled With Cows",False,"[{""retr_claim"": ""Yes, Kuwaiti ship met South African government terms to transport 60,000 sheep"", ""retr_label"": ""True"", ""retr_year"": 2019}, {""retr_claim"": ""Video shows cows being smuggled over the India-Pakistan border"", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""A post has surfaced on the internet in which a truck can be seen offloading hundreds of carcasses of dead cows. The claim attached to the picture is that the cows are dying out of starvation in Rajasthan. The caption of the picture read- \""यही है गौ सेवा की असलियत ।राजस्थान में भूख से मरी"", ""retr_label"": ""False"", ""retr_year"": 2019}]","[""Second presidency of Donald Trump: 2025. Retrieved April 7, 2025. &quot;US launches wave of air strikes on Yemen&#039;s Houthis&quot;. www.bbc.com. March 16, 2025. Retrieved March 19, 2025. Pindell, James"", ""Greco-Turkish War (1919–1922): and Kimon Digenis were captured by the Turkish forces. General Trikoupis learned only after his capture that he had been recently appointed Commander-in-Chief""]",wikipedia,"The claim that Yemeni Houthis have recently captured an Indian ship filled with cows lacks sufficient evidence to support a ""False"" verdict. The provided evidence does not mention any incidents involving Yemeni Houthis capturing ships or specifically targeting Indian vessels. The existing evidence primarily discusses unrelated topics, such as the transportation of sheep by a Kuwaiti ship [F1] and instances of cow smuggling [F2], which do not pertain to the claim in question. Therefore, without clear evidence directly addressing the claim, the verdict appears to be unsupported."
41,Beer or alcohol reduces the risk of cancer.,False,"[{""retr_claim"": ""Drinking beer will improve bone density and digestion; prevent cancer, diabetes, gallstones and dementia; and delay ageing, among other health benefits."", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Saint Luke's Hospital of USA says that consuming alcohol can reduce the risk of Covid-19."", ""retr_label"": ""Partially True"", ""retr_year"": 2020}, {""retr_claim"": ""Consuming alcoholic beverage reduces risk of COVID-19"", ""retr_label"": ""False"", ""retr_year"": 2020}]","[""Alcohol and cancer: causes cancers of the pancreas. Cancer risk can occur even with light to moderate drinking. The more alcohol is consumed, the higher the cancer risk, and"", ""Long-term effects of alcohol: completely safe in terms of cancer risk. The biological mechanisms include the damage caused by acetaldehyde, a toxic byproduct of alcohol metabolism, which""]",wikipedia,"The verdict that beer or alcohol reduces the risk of cancer is reasonable and supported by evidence indicating that alcohol consumption is associated with an increased risk of various cancers. For instance, evidence from Wikipedia states that alcohol can cause cancers, including that of the pancreas, and that even light to moderate drinking can elevate cancer risk [W1]. Additionally, the claim that drinking beer prevents cancer is explicitly labeled as false in a past fact-check [F1]. Therefore, the assertion that alcohol reduces cancer risk is not supported by the available evidence."
42,"An authentic poster for a Disney-Pixar film ""Cobain"" shows the animated version of Kurt Cobain, the late singer for the band Nirvana.",False,"[{""retr_claim"": ""A photograph shows musician Kurt Cobain with wrestler Andre the Giant."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Kurt Cobain predicted or endorsed a Donald Trump presidency in 1993."", ""retr_label"": ""False"", ""retr_year"": 2016}, {""retr_claim"": ""The late Kurt Cobain once argued that the nudity on the cover of the Nirvana album \""Nevermind\"" could be covered with a sticker that read: \""If you're offended by this you must be a closet pedophile.\"""", ""retr_label"": ""True"", ""retr_year"": 2021}]",[],none,"The claim that there is an authentic poster for a Disney-Pixar film titled ""Cobain"" featuring an animated version of Kurt Cobain is reasonable to deem false due to the lack of any supporting evidence. The provided evidence does not mention any such film or poster, and there are no relevant details from the web sources available. Therefore, without credible evidence to support the existence of this film or poster, the verdict remains justified."
43,Congress put Sonia Gandhi's image on QR code asking for donations for 2024 elections,False,"[{""retr_claim"": ""Image Shows Rahul Gandhi, Not Quattrocchi With Sonia Gandhi"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""After Shiv Sena, Congress and NCP formed an alliance to form government in Maharashtra, a picture is making rounds on social media in which Congress' interim President, Sonia Gandhi's portrait can be seen on Shiv Sena Bhavan. The caption with the picture in Hindi read: \""बस !!! अब यही देखना बाकी रह गया था\"" ALSO"", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""Picture of Sonia Gandhi"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}]",[],none,"The claim that Congress put Sonia Gandhi's image on a QR code asking for donations for the 2024 elections is deemed false based on the available evidence. The past fact-checks do not provide any specific instance or evidence supporting the claim about a QR code or donations related to Sonia Gandhi. Instead, they focus on unrelated images and claims about her portrayal in different contexts, such as [F1] and [F2], which do not substantiate the current claim. Therefore, the evidence is insufficient to support the claim."
44,"Singer Dua Lipa was sexually harassed in Jodhpur, India",False,"[{""retr_claim"": ""Recently, in Uttar Pradesh, BJP leader Satish Sharma has been accused of sexual harassment."", ""retr_label"": ""Partially True"", ""retr_year"": 2022}, {""retr_claim"": ""Video of Hindus taking to the streets to protest against Harsha's murder in Karnataka"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""A picture post featuring Bollywood actress Priyanka Chopra is doing rounds on social media. The post also attributes a quote to the actress where she is insulting Indian god Shiva. \"" प्रियंका चोपड़ा चोपड़ा ने दिया कड़ा जवाब माथे पर नकली आंख रखने वाला शंकर भगवान अपने बेटे को नहीं पहचान सका उस धर्म के मानने"", ""retr_label"": ""False"", ""retr_year"": 2019}]",[],none,"The claim that singer Dua Lipa was sexually harassed in Jodhpur, India, lacks sufficient evidence to support it. The provided evidence does not mention any incidents involving Dua Lipa, and there are no relevant facts or reports in the dataset that corroborate this claim. Therefore, the verdict of ""False"" is reasonable due to the absence of supporting evidence."
45,Stage collapses after Pakistani imam's anti-Semitic slur?,Partially True,"[{""retr_claim"": ""Muslims Being Mistreated? Clip is of Unrelated Incident in B'desh"", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Two priests were thrashed by Bangladeshis/ Muslims."", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Hindu sadhu's Jatas and beard was shoved off by Muslim man in Madhya Pradesh?"", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""Palestinian genocide accusation: [people in Gaza] behave, not all of them are Hamas, but they are all anti-Semitic&quot; and called for a &quot;swift and lethal response.&quot; Republican US Congressman""]",wikipedia,"The claim about a stage collapse following an anti-Semitic slur by a Pakistani imam lacks sufficient evidence to support it. The provided evidence does not directly relate to the claim and instead includes unrelated incidents that have been fact-checked as false, such as claims about mistreatment of Muslims and violence involving priests in Bangladesh [F1], [F2]. Additionally, the reference to a Republican US Congressman discussing anti-Semitism does not provide context or verification of the specific incident mentioned in the claim [W1]. Therefore, the evidence is insufficient to substantiate the claim."
46,"More than 4,500 'legacy' asylum claims remain in the backlog",Partially True,"[{""retr_claim"": ""Says about 80% to 90% of people seeking asylum do not have a valid claim."", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""\""There's been a 1,700 percent increase in asylum claims over the last 10 years.\"""", ""retr_label"": ""Partially True"", ""retr_year"": 2018}, {""retr_claim"": ""In the U.S. asylum system, \""claims of 'fear to return' have skyrocketed, and the percentage of claims that are genuinely meritorious are down.\"""", ""retr_label"": ""Partially True"", ""retr_year"": 2017}]","[""2024 in the United Kingdom: stats watchdog over asylum backlog claim&quot;. BBC News. BBC. Retrieved 18 January 2024. &quot;Newham: Newborn girl found in shopping bag less than hour old, police"", ""Crime in New York City: decision-making was devolved to precinct level, and a backlog of 50,000 unserved warrants was cleared. Bratton resigned in 1996. On December 5, 2013, New York City""]",wikipedia,"The claim that more than 4,500 'legacy' asylum claims remain in the backlog is assessed as partially true, as there is no direct evidence provided in the dataset to confirm or deny the specific number of claims. The evidence indicates trends and issues within the asylum system, such as a significant increase in claims and a decrease in genuinely meritorious claims, but does not provide concrete statistics regarding the current backlog of legacy claims. Therefore, the evidence is insufficient to fully validate the claim."
47,"In late 2023, actor Jane Fonda said about the 2024 presidential elections, ""If Trump wins, I'm moving to Canada.""",Unverifiable,"[{""retr_claim"": ""Cher \""is moving to Canada because of President Trump.\"""", ""retr_label"": ""False"", ""retr_year"": 2017}, {""retr_claim"": ""In October 2020, actress Jane Fonda said the COVID-19 coronavirus pandemic was \""God's gift to the Left.\"""", ""retr_label"": ""True"", ""retr_year"": 2020}, {""retr_claim"": ""Says Julia Roberts told Celine Dion, \""If you hate Trump you can go in your country.\"""", ""retr_label"": ""False"", ""retr_year"": 2018}]",[],none,"The claim that Jane Fonda said, ""If Trump wins, I'm moving to Canada,"" in late 2023 is unverifiable based on the provided evidence. There is no direct evidence or credible sources to confirm this specific statement from Fonda, and the existing fact-checks do not address this claim. Therefore, the lack of supporting evidence makes it reasonable to categorize the claim as unverifiable."
48,Photo shows US naturalization certificate for Ukrainian President Zelensky,False,"[{""retr_claim"": ""Image shows President of Ukraine Volodymyr Zelensky at frontline"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}, {""retr_claim"": ""Old Images of Ukraine President Zelenskyy Viral Amid Russian Attack"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""\""The White House presented commemorative coins\"" dedicated to Ukraine President Volodymyr Zelenskyy."", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""Yulia Tolopa: the Ukraine regular army, when women were officially allowed to take part in combat. Ukrainian bureaucracy for years delayed giving her Ukrainian nationality"", ""Roman Abramovich: administration deferred sanctions on Abramovich at the urging of President of Ukraine Volodymyr Zelensky, because of the oligarch&#039;s potential role in negotiations""]",wikipedia,"The claim that the photo shows a US naturalization certificate for Ukrainian President Zelensky is reasonable to be deemed false, as there is no evidence provided that supports the existence of such a certificate. The evidence from past fact-checks does not relate to Zelensky's naturalization status and instead focuses on other aspects of his presidency and public appearances, such as images from the frontline [F1] and commemorative coins [F3]. Additionally, the web evidence does not address Zelensky's citizenship or naturalization, further indicating a lack of relevant information to support the claim."
49,"No, Ben Carson Is Not Hawking CBD Gummies to Treat Hypertension",False,"[{""retr_claim"": ""Dr. Phil and other celebrities are endorsing CBD gummies."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""TV personalities such as Shark Tank investors, Dr. Phil and Dr. Oz endorsed CBD gummies; CBD gummies have numerous health benefits"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Tiger Woods endorsed his own line of CBD gummies."", ""retr_label"": ""False"", ""retr_year"": 2022}]",[],none,"The claim that Ben Carson is hawking CBD gummies to treat hypertension is deemed false, as there is no specific evidence provided that supports this assertion. The existing evidence from past fact-checks indicates that other celebrities, such as Dr. Phil and Dr. Oz, have been associated with CBD gummies, but it does not mention Ben Carson in this context [F1], [F2]. Therefore, the verdict is reasonable due to the lack of direct evidence linking Carson to the promotion of CBD gummies."
